,0
0,206.94306346340727
1,197.7090681849737
2,203.592622717745
3,197.19679806376084
4,205.83552548918428
5,204.13818186627546
6,201.10542186601157
7,204.19335938791565
8,202.07866632279843
9,204.87128771797592
10,197.35942097989
11,206.43069414962292
12,199.52170664127357
13,201.93877173143898
14,207.14169328334017
15,200.63074572976052
16,206.3439866156157
17,196.10828522493634
18,200.50949272918487
19,202.17846066353178
20,202.01755708532508
21,203.305499897502
22,200.41934651933295
23,203.42193213905406
24,203.81596471389537
25,200.8623074837483
26,204.36483689434675
27,200.1292479219153
28,202.65020069963822
29,202.58151976246637
30,203.11285469610675
31,200.42198504175985
32,199.53522328248047
33,203.2098253549442
34,201.37252762513177
35,202.4468427004194
36,204.3100363044809
37,203.67433755893697
38,204.9370193293258
39,200.70490870977002
40,195.86560067715376
41,203.52582643944916
42,205.46095449706013
43,200.81538278413683
44,204.7805661912027
45,199.38988632531058
46,204.10353059429582
47,203.98232388358883
48,199.96676387538733
49,198.62961493443302
50,201.24240680857906
51,194.39395983362115
52,204.4421740366754
53,198.9046891635417
54,205.5231019501256
55,201.11843593151698
56,200.68005105111004
57,204.79874488331708
58,201.7156479589473
59,200.63349005759707
60,206.1191038281719
61,205.14249343675812
62,202.82808604624998
63,203.05578590275164
64,203.54501028296326
65,206.30102961890321
66,199.60502178930284
67,196.09503971009383
68,199.83752917914774
69,204.17180814833904
70,203.76359103563556
71,202.5416707996905
72,203.9562891397363
73,194.107709908015
74,201.4674813683281
75,197.04756614491413
76,206.14986675131084
77,199.52340614068123
78,197.64522784533833
79,202.19240052638105
80,198.48444329821936
81,202.69504235522857
82,196.50252941059784
83,200.13418109918618
84,201.42552291017842
85,198.9481619616327
86,199.81674502879898
87,199.71346572235367
88,205.84544474643093
89,204.45307860680674
90,205.47977463447575
91,201.76948968727794
92,197.79091528293094
93,206.05950231779943
94,201.0179406299394
95,201.77376158073386
96,204.3770838706258
97,199.7531295256614
98,198.02399798969762
99,202.36443351121832
