,0
0,200.59764307537668
1,203.40993117921153
2,202.47016810612672
3,201.52422394751716
4,202.72152049413452
5,204.18097971528198
6,201.76505702734786
7,203.8398472804551
8,197.96328382292654
9,200.59412488261694
10,201.81062159147464
11,203.42781312136026
12,204.01453569114014
13,201.03664563686795
14,199.5263886500807
15,204.3192914236336
16,196.458467249506
17,203.87818147349645
18,200.2141203856786
19,203.58676224864485
20,199.01361866846509
21,210.79953796165373
22,203.95685584668098
23,203.37394244800936
24,204.07339267528172
25,201.55247970866836
26,197.41784490853982
27,200.8002609987615
28,200.10045366169786
29,202.23914452365477
30,207.26595421058897
31,203.481630889556
32,196.70966973957454
33,201.56670678640867
34,199.8457770664978
35,205.22141247944484
36,204.7307039471657
37,204.67260086147303
38,198.8253644944692
39,199.29137072845984
40,199.7898342746039
41,200.00747726180512
42,204.83677878150647
43,202.55872251687435
44,200.93032832057114
45,203.35481723473612
46,202.67238483209306
47,199.7556355011216
48,202.13439672693357
49,206.89986817799095
50,201.9167184696308
51,203.20943387076224
52,200.18866418894135
53,200.46621344584483
54,200.86161334267945
55,201.683543410883
56,201.04078546519114
57,203.32147817001095
58,201.5339629046699
59,205.4848360601531
60,204.95765824152062
61,203.9130195175932
62,206.59614850476868
63,198.15929741955057
64,199.91322672944779
65,203.21919928049007
66,200.9625872383945
67,201.14560821088048
68,197.66723539707533
69,201.2978472010972
70,200.40176174163722
71,205.17083515194864
72,202.25132152666635
73,207.1573134762655
74,200.2187760392552
75,197.58525445174826
76,201.06752020315528
77,199.89664537234245
78,203.89573275843026
79,204.38135357837237
80,204.104791884349
81,200.588168643999
82,203.4091949158147
83,201.36501911198718
84,205.10388808796276
85,205.1033458101318
86,203.33656054774528
87,202.0482142306049
88,202.34055047813067
89,199.89881889243077
90,199.7101194333852
91,202.9015170552993
92,202.5590487653261
93,202.83402330472015
94,202.41225459723793
95,205.19373426622764
96,201.39274582159413
97,203.61739874173938
98,202.19315230953023
99,206.2871118635397
